runf_cmha,date
0.0,2009-01-01
0.035112210561604434,2009-01-02
0.0,2009-01-03
0.0,2009-01-04
0.0,2009-01-05
0.0,2009-01-06
0.0,2009-01-07
0.0,2009-01-08
0.0,2009-01-09
0.0,2009-01-10
0.0,2009-01-11
0.0,2009-01-12
0.0,2009-01-13
0.0,2009-01-14
0.0,2009-01-15
0.0,2009-01-16
0.0,2009-01-17
0.0,2009-01-18
0.0,2009-01-19
0.0,2009-01-20
0.01028893159720955,2009-01-21
0.8105293018063071,2009-01-22
0.2762479816183233,2009-01-23
0.08692873706570281,2009-01-24
0.017830165287125926,2009-01-25
0.0,2009-01-26
0.0,2009-01-27
0.0,2009-01-28
0.0,2009-01-29
0.0,2009-01-30
0.0,2009-01-31
0.0,2009-02-01
0.0,2009-02-02
0.0,2009-02-03
0.0,2009-02-04
0.0,2009-02-05
0.01006005885026888,2009-02-06
0.0,2009-02-07
0.029125976883803712,2009-02-08
0.08509300445437784,2009-02-09
0.0,2009-02-10
0.3171752258251522,2009-02-11
0.02086164372756014,2009-02-12
0.6949188267200912,2009-02-13
0.0532446491328211,2009-02-14
0.19142653456341835,2009-02-15
0.41019695741838064,2009-02-16
0.9240984405909451,2009-02-17
0.0392557792596604,2009-02-18
0.0,2009-02-19
0.0,2009-02-20
0.0,2009-02-21
0.7439301521089852,2009-02-22
0.7916934555816314,2009-02-23
0.0,2009-02-24
0.0,2009-02-25
0.08575178269228162,2009-02-26
0.0,2009-02-27
0.0,2009-02-28
0.4863191818272025,2009-03-01
0.6292110779401102,2009-03-02
0.7367276218009361,2009-03-03
0.08574977004181804,2009-03-04
0.0,2009-03-05
0.0,2009-03-06
0.0,2009-03-07
0.0,2009-03-08
0.0,2009-03-09
0.0,2009-03-10
0.0,2009-03-11
0.0,2009-03-12
0.0,2009-03-13
0.0,2009-03-14
0.0,2009-03-15
0.0,2009-03-16
0.0,2009-03-17
0.0,2009-03-18
0.0,2009-03-19
0.0,2009-03-20
0.0,2009-03-21
0.0649641288497147,2009-03-22
0.0,2009-03-23
0.0,2009-03-24
0.0,2009-03-25
0.0,2009-03-26
0.0,2009-03-27
0.0,2009-03-28
0.0,2009-03-29
0.0,2009-03-30
0.0,2009-03-31
0.0,2009-04-01
0.0,2009-04-02
0.0,2009-04-03
0.0,2009-04-04
0.0,2009-04-05
0.0,2009-04-06
0.2038216950058709,2009-04-07
