Site_ID,Subcatchment_ID
31_36,1
31_36,2
31_36,3
31_36,4
31_36,5
31_36,6
31_36,7
31_36,8
31_36,9
31_36,10
31_36,11
31_36,12
31_36,13
31_36,14
31_36,15
31_36,16
31_36,17
31_36,18
31_36,19
31_36,20
31_36,21
31_36,22
31_36,23
31_36,24
31_36,25
31_36,26
31_36,27
31_36,28
31_36,29
31_36,30
31_36,31
31_36,32
31_36,33
31_36,34
31_36,35
31_36,36
31_36,37
31_36,38
31_36,39
31_36,40
31_36,41
31_36,42
31_36,43
31_36,44
31_36,45
31_36,46
31_36,47
31_36,48
31_36,49
31_36,50
31_36,51
31_36,53
31_36,54
31_36,55
31_36,56
31_36,57
31_36,58
31_36,59
31_36,60
31_36,61
31_36,62
31_36,63
31_36,64
31_36,65
31_36,66
31_36,67
31_36,68
31_36,69
31_36,70
31_36,71
31_36,72
31_36,73
31_36,74
31_36,75
31_36,76
31_36,77
31_36,78
31_36,79
31_36,80
31_36,81
31_36,82
31_36,83
31_36,84
31_36,85
31_36,86
31_36,88
31_36,89
31_36,90
31_36,91
31_36,92
31_36,93
31_36,94
31_36,95
31_36,96
31_36,97
31_36,98
31_36,99
31_36,100
31_36,101
31_36,102
31_36,103
31_36,104
31_36,105
31_36,106
31_36,107
31_36,108
31_36,109
31_36,110
31_36,111
31_36,112
31_36,113
