Site_ID,Subcatchment_ID
31_26,1
31_26,2
31_26,3
31_26,4
31_26,5
31_26,6
31_26,7
31_26,8
31_26,9
31_26,10
31_26,11
31_26,12
31_26,13
31_26,14
31_26,15
31_26,16
31_26,17
31_26,18
31_26,19
31_26,20
31_26,21
31_26,22
31_26,23
31_26,24
31_26,25
31_26,26
31_26,27
31_26,28
31_26,29
31_26,30
31_26,31
31_26,32
31_26,33
31_26,34
31_26,35
31_26,36
31_26,37
31_26,38
31_26,39
31_26,40
31_26,41
31_26,42
31_26,43
31_26,44
31_26,45
31_26,46
31_26,47
31_26,48
31_26,49
31_26,50
31_26,51
31_26,55
31_26,57
31_26,60
31_26,61
31_26,63
31_26,66
31_26,67
31_26,77
