datetime,subcatchment_S53_Bifenthrin,subcatchment_S54_Bifenthrin,subcatchment_S68_Bifenthrin,subcatchment_S70_Bifenthrin,subcatchment_S71_Bifenthrin,subcatchment_S74_Bifenthrin,subcatchment_S75_Bifenthrin,subcatchment_S76_Bifenthrin,subcatchment_S78_Bifenthrin,subcatchment_S79_Bifenthrin,subcatchment_S82_Bifenthrin,subcatchment_S84_Bifenthrin,subcatchment_S85_Bifenthrin,subcatchment_S86_Bifenthrin,subcatchment_S89_Bifenthrin,subcatchment_S91_Bifenthrin,subcatchment_S92_Bifenthrin,subcatchment_S93_Bifenthrin,subcatchment_S94_Bifenthrin,subcatchment_S95_Bifenthrin,subcatchment_S96_Bifenthrin,subcatchment_S97_Bifenthrin,subcatchment_S98_Bifenthrin,subcatchment_S99_Bifenthrin,subcatchment_S102_Bifenthrin,subcatchment_S103_Bifenthrin,subcatchment_S101_Bifenthrin,subcatchment_S108_Bifenthrin,bif_sum,date,year,month,day
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-01,2009,1,1
2009-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-02,2009,1,2
2009-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-03,2009,1,3
2009-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-04,2009,1,4
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-05,2009,1,5
2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-06,2009,1,6
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-07,2009,1,7
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-08,2009,1,8
2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-09,2009,1,9
2009-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-10,2009,1,10
2009-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-11,2009,1,11
2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-12,2009,1,12
2009-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-13,2009,1,13
2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-14,2009,1,14
2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-15,2009,1,15
2009-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-16,2009,1,16
2009-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-17,2009,1,17
2009-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-18,2009,1,18
2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-19,2009,1,19
2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-20,2009,1,20
2009-01-21,0.0,2.340940820598789,0.8160058035044182,0.0,0.6013703699571331,1.949624516622143,0.7615156168713567,0.0,0.6112752928527966,0.28003902013523974,2.3910277959681863,1.0716926201138761,3.094599251562935,2.069680658734053,2.2496462812024585,0.5666906242345385,1.5512757900924832,1.2242257305711688,1.7273729147739851,2.8910491122503954,1.248395578549715,0.0,0.22925599321505763,0.2800170125783001,0.0,0.7067293889349265,3.257839923677322,0.6428291140572024,32.56309923105848,2009-01-21,2009,1,21
2009-01-22,21.342383632796196,10.177721339439211,2.7305284404498966,3.0461838252242606,11.21599841498883,13.561649728173737,10.566577778000605,3.8036670889225443,11.826275851171008,43.812109900722604,5.312681080907341,2.587858725281882,6.899568343470896,3.768822997575327,15.500492617163038,13.448782221068907,5.423078274961637,4.544846921829844,9.34842697254595,4.820484116561915,4.435612418507081,47.52340538920253,35.579945981751415,44.60237984795382,5.183941680488939,16.075111434753087,8.139332345152786,24.08027560003115,389.35814296909643,2009-01-22,2009,1,22
2009-01-23,1.4868717811173275e-06,5.420089508209253e-09,6.31008637641806e-08,2.4515383365871473e-05,3.376996605258447e-07,1.4835348147942322e-07,6.418714073793398e-07,2.968649394493099e-05,1.3716169118898713e-09,2.2314950866087214e-06,1.3521259391573664e-08,7.5777575059232e-08,1.378309045392813e-09,9.456780809470086e-09,6.007046550692937e-08,6.006855944125772e-09,1.4718782914202854e-08,3.852999011766629e-07,7.170458823292947e-08,6.351355333865075e-10,2.3960124055818794e-07,1.0691989578337381e-05,1.267802358679669e-06,2.397862858811724e-06,3.86449133782277e-06,1.7308687865227157e-09,3.420504801306011e-09,6.370670234431314e-08,7.828723640185318e-05,2009-01-23,2009,1,23
2009-01-24,3.1781417333597355e-13,7.495824183300745e-17,1.1473254030554238e-15,2.7473988106712653e-08,9.839379000760932e-15,4.0625417258725106e-15,4.567581801894789e-14,1.8843337899478547e-11,1.666996602867829e-17,7.260432089461274e-14,3.5729570845677534e-17,2.902784497633978e-16,2.5773837945666234e-18,1.8470956274211708e-17,1.182437230031192e-15,8.531369769845634e-17,2.6487024073799334e-16,2.2732082429047003e-15,1.8221180753061775e-15,8.4896843497518285e-19,1.4929101097022815e-15,7.034182515712525e-12,3.922999991267105e-14,7.636500283542204e-14,5.178956795673807e-13,3.839674152464506e-18,8.02748400814397e-18,1.1996850788475163e-15,2.750095903331191e-08,2009-01-24,2009,1,24
2009-01-25,2.2328530527027584e-15,1.0784710014107096e-22,1.1486778735613131e-20,0.0,8.861206940615654e-18,1.9918240091347166e-19,4.288273704752087e-17,6.1752191020633304e-12,7.950718262358962e-24,1.79468316372712e-16,4.8195123017530005e-23,1.5553915317361267e-20,5.686404165635393e-25,2.067522681273999e-23,1.559891336915423e-20,3.640405010361703e-23,3.818350240299874e-21,2.510561791070781e-19,3.19306805764491e-20,2.0327711300532377e-25,2.0072982784797617e-20,1.3848470723171008e-13,4.6841812569849357e-17,1.7838826091688575e-16,2.3674465297507263e-15,7.735159614873398e-25,3.0256103279364525e-24,1.3086369778155528e-20,6.3187611132235575e-12,2009-01-25,2009,1,25
2009-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-26,2009,1,26
2009-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-27,2009,1,27
2009-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-28,2009,1,28
2009-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-29,2009,1,29
2009-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-30,2009,1,30
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-31,2009,1,31
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-01,2009,2,1
2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-02,2009,2,2
2009-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-03,2009,2,3
2009-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-04,2009,2,4
2009-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-05,2009,2,5
2009-02-06,0.22125194546418828,4.035871603084317,0.5989172547413758,0.0,0.1835806149927657,3.617708057921681,1.4280303710507751,0.0,4.779469322619689,0.54522113315902,3.0445908208292423,7.658562524270789,3.6400404805559,2.5014928983267573,4.03042286064009,3.8221887974523265,2.328609001330801,2.0191266546547935,2.8145538588687558,2.9707737825440117,2.0631227657566886,0.0,0.4774580755269623,0.5831198173587903,0.0,5.505956865857349,3.8982191149160186,1.1778202474516812,63.94610886937477,2009-02-06,2009,2,6
2009-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-02-07,2009,2,7
2009-02-08,0.4382024870294625,0.0985048196514075,1.0849622493474727,1.2910456419760414,0.2057868343275562,0.23501901949627405,0.25294084230791614,1.561470635183554,0.10919277956314218,1.050122200213288,0.40954183705598757,0.12106102046299153,0.06214844075541272,0.25139045439224617,0.22867515659865248,0.1536640562995263,0.5344941336771887,0.650845473392487,1.0621296039442996,0.03793902808559384,0.5380249068222079,1.6688155765254749,0.7056180494975741,1.1272593012753394,1.7917229871753733,0.14521294607039678,0.06670710184323073,0.3273146388934145,16.209812221863512,2009-02-08,2009,2,8
2009-02-09,0.12168376182888525,0.03557578530029968,0.40802393262773506,0.05702448226353759,0.0672864470008847,0.07170183831824935,0.08105000205837971,0.38572956563549754,0.044488153978716825,0.2767915564026613,0.01578149161645766,0.00405525937335318,0.0252378149521803,0.009222535873113561,0.0739128594506329,0.05759217068619883,0.019640580993879383,0.02151352663153058,0.03742257671240638,0.015363048438096974,0.019044972426794184,0.3935302823814765,0.182578330532854,0.2967506132926193,0.484449656608203,0.0657427282255693,0.0263085932631534,0.11463857125962149,3.4121411381329882,2009-02-09,2009,2,9
2009-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025610254002374e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025610254002374e-07,2009-02-10,2009,2,10
